x,1000rpm,1400rpm,1600rpm,1800rpm,2108rpm
100,10.8039,469.2,1913.0,2738.6,3671.1,5338.8
101,10.8267,462.9,1909.4,2735.2,3667.3,5335.0
102,10.8764,449.1,1901.6,2727.6,3658.9,5326.9
103,11.0171,408.4,1880.1,2705.4,3635.0,5304.9
104,11.1587,365.4,1858.5,2682.8,3614.9,5284.0
105,11.2526,336.3,1843.8,2668.3,3601.5,5270.5
106,11.2986,321.9,1836.4,2661.5,3594.8,5263.8
107,11.323,314.3,1832.5,2658.0,3591.2,5260.3
108,11.4191,284.3,1816.6,2644.6,3577.0,5246.3
109,11.6773,203.0,1772.8,2607.9,3538.0,5206.9
110,11.7014,195.4,1768.7,2604.1,3534.3,5203.1
111,11.7469,180.9,1761.0,2596.9,3527.3,5195.8
112,11.8657,143.1,1741.8,2577.3,3508.8,5176.2
113,11.9854,104.8,1728.8,2557.0,3489.8,5155.6
114,12.0308,90.2,1721.7,2549.3,3482.5,5147.6
115,12.2188,29.9,1686.4,2517.4,3451.8,5113.0
116,12.22,29.5,1686.2,2517.2,3451.6,5112.8
117,12.2677,14.2,1676.9,2509.3,3443.7,5103.9
118,12.5281,-69.4,1625.3,2466.5,3400.1,5054.9
119,12.55,-76.4,1621.0,2462.9,3396.4,5050.9
120,12.7627,-144.0,1578.4,2426.6,3360.9,5012.7
121,12.8104,-159.1,1568.8,2418.1,3353.0,5004.4
122,13.0472,-232.9,1519.8,2374.1,3314.3,4964.3
123,13.0927,-246.8,1510.2,2365.5,3306.9,4956.8
124,13.3054,-310.3,1463.3,2325.9,3270.8,4921.3
125,13.3531,-324.0,1452.4,2317.2,3262.4,4913.1
126,13.5663,-379.8,1400.9,2279.2,3222.7,4873.6
127,13.6117,-389.3,1389.3,2270.9,3213.8,4864.4
128,13.8481,-54.1,1325.2,2225.2,3166.6,4813.6
129,13.8722,-25.7,1318.3,2220.1,3161.7,4808.3
130,14.0854,284.4,1255.0,2171.9,3118.3,4762.8
131,14.1072,322.4,1248.3,2166.7,3113.9,4758.5
132,14.3672,873.5,1166.3,2104.3,3060.7,4710.2
133,14.4149,995.2,1150.9,2093.1,3050.9,4701.8
134,14.5791,1467.4,1097.3,2055.1,3017.2,4672.5
135,14.5809,1473.0,1096.7,2054.7,3016.9,4672.2
136,14.8863,2587.8,995.0,1983.4,2954.5,4614.1
137,14.9576,2895.2,970.6,1966.0,2940.1,4600.0
138,15.0274,3214.5,946.2,1948.5,2926.0,4586.1
139,15.1,3566.5,920.3,1929.7,2911.3,4571.5
140,15.3818,5132.7,813.5,1852.5,2851.4,4514.5
141,15.4521,5575.2,785.1,1832.2,2835.2,4500.1
142,15.4767,5735.4,774.9,1825.0,2829.3,4495.1
143,15.5955,6546.4,724.8,1789.6,2800.2,4470.8
144,15.8537,8535.2,613.6,1711.5,2735.5,4417.2
145,15.8768,8728.3,603.8,1704.6,2730.0,4412.3
146,15.9722,9556.7,563.5,1675.7,2708.5,4391.8
147,16.0202,9991.1,543.3,1661.0,2699.1,4381.4
148,16.3014,12778.0,422.5,1568.8,2648.3,4318.6
149,16.3026,12789.9,422.0,1568.4,2648.1,4318.3
150,16.3256,13037.6,411.6,1560.5,2642.4,4313.1
151,16.5158,15195.1,321.3,1492.9,2588.7,4269.4
152,16.6789,17214.4,241.3,1433.3,2537.8,4231.3
153,16.7744,18471.2,195.0,1397.8,2507.1,4208.9
154,17.0334,22165.8,71.9,1298.6,2422.4,4148.8
155,17.0348,22187.5,71.2,1298.1,2421.9,4148.5
156,17.08,22876.1,49.9,1280.1,2407.1,4138.2
157,17.1755,24378.5,4.8,1241.2,2376.1,4116.5
158,17.4581,29185.2,-130.3,1117.3,2285.8,4051.0
159,17.5539,30943.5,-177.2,1074.7,2255.2,4027.6
160,17.6474,32722.5,-224.1,1033.2,2225.1,4003.9
161,17.8592,36991.8,-336.8,936.1,2155.5,3947.7
162,18.0494,41121.2,-460.4,841.6,2090.4,3896.7
163,18.0957,42168.6,-506.7,817.8,2074.0,3884.6
164,18.2366,45463.8,-568.1,744.7,2022.9,3847.9
165,18.544,53219.5,-350.8,588.4,1902.8,3766.1
166,18.5449,53244.4,-349.8,587.9,1902.4,3765.8
167,18.6141,55101.1,-265.7,553.4,1873.3,3746.1
168,18.9451,64567.5,345.1,386.7,1731.6,3646.7
169,18.9916,65976.8,461.1,362.0,1713.2,3632.5
170,19.0168,66749.9,527.4,348.4,1703.4,3624.8
171,19.299,75798.9,1438.8,187.9,1590.6,3539.7
172,19.3454,77362.1,1620.7,160.6,1569.0,3525.6
173,19.5123,83147.4,2353.2,63.4,1484.9,3473.7
174,19.6764,89108.0,3202.1,-28.5,1399.3,3420.1
175,19.9606,100075.3,4997.5,-170.4,1256.5,3322.7
176,20.0539,103861.3,5683.5,-211.2,1207.9,3290.2
177,20.4078,119068.5,8754.9,-338.5,1006.5,3162.0
178,20.4089,119117.2,8765.5,-338.8,1005.9,3161.5
179,20.7616,135669.4,12635.2,-426.5,805.1,3019.6
180,20.8335,139217.8,13530.1,-440.2,763.2,2990.3
181,21.1155,153723.8,17410.4,-482.4,593.6,2877.8
182,21.2582,161429.9,19608.9,-497.5,505.7,2819.1
183,21.4458,171939.2,22750.6,-511.7,392.2,2736.9
184,21.6593,184439.9,26690.5,-521.1,269.5,2637.9
185,21.7997,192975.4,29500.0,-523.7,190.8,2571.5
186,22.0604,209513.5,35201.9,-522.0,43.6,2446.5
187,22.4378,235075.5,44630.9,-506.4,-191.1,2255.2
188,22.7917,260834.9,54814.3,-480.1,-778.7,2053.8
189,23.1456,288393.5,66386.1,-444.3,-936.2,1852.4
190,23.4758,315790.4,78514.6,-403.6,-929.9,1640.9
191,23.8061,344856.1,91997.4,-356.8,-738.0,1429.4
192,24.1128,373381.8,105790.5,-308.7,-361.9,1217.9
193,24.443,405803.8,122082.6,-252.2,290.8,1006.4
194,24.7497,437530.7,138605.1,-196.0,1158.0,794.9
195,25.0564,470859.1,156527.8,-136.5,2306.7,583.5
196,25.363,505828.3,175906.7,-74.0,3766.1,372.0
197,25.6461,539596.2,195134.9,-14.0,5414.3,150.4
