,omega_0 [rad/s],zeta_a [m],eta_3a [m],eta_5a [rad],mu_ua [-]
83,2.382085,1.0,(-0.11957012425688422-0.06488728533185328j),(0.007378469200465599-0.000675440382080515j),(0.8953466628354345+0.6097057223812685j)
84,2.397436,1.0,(-0.1264052104448589-0.06855531226497502j),(0.007321494594610646-0.0001274247804247525j),(0.9909367346059261+0.6403351161576218j)
85,2.412705,1.0,(-0.13272830563860402-0.07187035864930066j),(0.007235173224380865+0.0004006358379741216j),(1.0855211421744078+0.6696596395165295j)
86,2.427892,1.0,(-0.13853769324207904-0.07482979540475408j),(0.007119262281270356+0.0009079374102852168j),(1.1788059157715933+0.6975006915420467j)
87,2.443,1.0,(-0.1438340544437803-0.07743300725486525j),(0.006973671273968008+0.0013937404373345586j),(1.2705153346701867+0.7236939515888519j)
88,2.458028,1.0,(-0.1486176945920522-0.07968005729418128j),(0.006798541703430862+0.0018571849897053544j),(1.3603508743465462+0.7480753752221934j)
89,2.472978,1.0,(-0.15289109119816757-0.08157304915996522j),(0.006594182251395305+0.0022975293865565055j),(1.448032347439062+0.7704960576484943j)
90,2.487853,1.0,(-0.15665792315899127-0.08311533872905283j),(0.006361051741204637+0.0027140371409536687j),(1.5332870818923847+0.7908189926308482j)
91,2.502651,1.0,(-0.15992142382042465-0.08431107458362781j),(0.0060998644587012705+0.0031058981751946038j),(1.615816864946438+0.8089093321560139j)
92,2.517376,1.0,(-0.16268729011270638-0.08516619650306999j),(0.005811405856343672+0.003472476382766171j),(1.6953597230262738+0.8246534501835984j)
93,2.532027,1.0,(-0.1649609177054469-0.08568730858595078j),(0.0054967018161492034+0.0038130500410779146j),(1.7716312164822932+0.8379425387824734j)
94,2.546607,1.0,(-0.16674923328436714-0.08588243923057576j),(0.005156866434578646+0.004127056926989158j),(1.8443705758728828+0.8486845710238692j)
95,2.561115,1.0,(-0.168059354046992-0.08576047046486007j),(0.004793244678046368+0.004413918637072756j),(1.9133032755824702+0.8567966225807601j)
96,2.575553,1.0,(-0.16889957320980914-0.08533122836881257j),(0.004407253996839928+0.004673160085501317j),(1.9781754400036304+0.862211577096003j)
97,2.589923,1.0,(-0.1692787298702509-0.08460539208388793j),(0.004000433484779578+0.004904390609225796j),(2.038737863111625+0.8648746833736692j)
98,2.604224,1.0,(-0.1692062654834174-0.0835945843175173j),(0.0035745411675501496+0.005107262164879927j),(2.0947364628299283+0.8647433367913593j)
99,2.618459,1.0,(-0.16869232734487338-0.08231093153307141j),(0.0031313271565575978+0.005281569095335287j),(2.145940305352895+0.8617890170232805j)
100,2.632627,1.0,(-0.16774773564187828-0.08076740596570417j),(0.0026727616395725304+0.005427134800283733j),(2.1921133551672285+0.855995886195436j)
101,2.64673,1.0,(-0.1663838620650702-0.07897737608713351j),(0.002200826207267393+0.0055439264534068375j),(2.23303840479078+0.8473611419497873j)
102,2.660769,1.0,(-0.16461265491504126-0.07695473730058665j),(0.0017176168278347985+0.005631992034055619j),(2.268504578748716+0.8358939292153391j)
103,2.674744,1.0,(-0.16244678384506206-0.0747138991351901j),(0.0012253282845425101+0.005691482670889614j),(2.298310801294363+0.821616639136622j)
104,2.688657,1.0,(-0.1598992347727315-0.07226933998520632j),(0.0007261641163198718+0.005722643795579846j),(2.322270367727187+0.8045617342046314j)
105,2.702509,1.0,(-0.15698359023574848-0.06963581128888771j),(0.000222396599774628+0.0057258250671569j),(2.340208198177988+0.7847729111411194j)
106,2.716299,1.0,(-0.1537144958209569-0.06682876917185139j),(-0.0002835755380233897+0.005701496302211479j),(2.351959353613604+0.7623084343063573j)
107,2.730029,1.0,(-0.15010646447817105-0.06386303614535395j),(-0.0007894465334260297+0.005650203116725776j),(2.357378661013593+0.7372316544128258j)
108,2.7437,1.0,(-0.14617467904771297-0.06075364078913949j),(-0.0012928633970760409+0.0055726050636186325j),(2.3563347457849146+0.7096162348352886j)
109,2.757312,1.0,(-0.14193520431078493-0.05751592054857822j),(-0.0017914151777057461+0.005469462638438534j),(2.348710382699748+0.6795476461533907j)
110,2.770867,1.0,(-0.1374039148511285-0.05416439404934493j),(-0.002282791289017631+0.005341605187359702j),(2.334408263928816+0.6471135762942618j)
111,2.784364,1.0,(-0.1325981367581644-0.05071426214771227j),(-0.002764600668817849+0.005189996965122487j),(2.3133502430656954+0.6124163308533899j)
112,2.797805,1.0,(-0.12753468474771412-0.04717965456912396j),(-0.0032345806658394564+0.005015645241061729j),(2.285475062951464+0.5755570812031716j)
113,2.81119,1.0,(-0.12223147655223202-0.0435748970331829j),(-0.0036904609332474034+0.004819667056339849j),(2.2507450022334163+0.5366473610328311j)
114,2.824521,1.0,(-0.11670608877987654-0.039913417043503055j),(-0.004130087699952031+0.004603220494247215j),(2.209138134460134+0.49579765306279333j)
115,2.837797,1.0,(-0.11097763968781141-0.0362090367893754j),(-0.004551301360465813+0.004367602035530847j),(2.1606647159738364+0.45313056113095473j)
116,2.851019,1.0,(-0.10506489915576596-0.03247459670687399j),(-0.004952074631467408+0.00411412117760023j),(2.105351749162825+0.4087666354631505j)
117,2.864188,1.0,(-0.09898686091435195-0.028722328089630055j),(-0.005330493738633399+0.0038441531863554704j),(2.043252076173517+0.36282703229160274j)
118,2.877305,1.0,(-0.09276285674650447-0.024964060633272077j),(-0.005684734307083238+0.003559129027906218j),(1.97444031389222+0.3154350305400826j)
119,2.89037,1.0,(-0.0864128875723941-0.021211263999962694j),(-0.0060130776051919915+0.00326054766873941j),(1.899023749813665+0.2667169939113312j)
120,2.903384,1.0,(-0.07995676832388321-0.01747460106647799j),(-0.006313947207206763+0.0029499253017848835j),(1.8171296598752782+0.2167966107146806j)
121,2.916348,1.0,(-0.07341439237572737-0.013764085576370683j),(-0.0065859114928402615+0.002628815923625565j),(1.7289126482175965+0.16579504417373148j)
122,2.929261,1.0,(-0.06680685359710449-0.010089741234172785j),(-0.0068276342713521265+0.0022988504725018595j),(1.634568119520476+0.11384073280917673j)
123,2.942125,1.0,(-0.0601537967562522-0.006460103574507313j),(-0.007037994943943757+0.00196160137450912j),(1.534298391643572+0.061048110547647916j)
124,2.954941,1.0,(-0.05347536939536653-0.002883403944960774j),(-0.007216002884788972+0.0016186887287032489j),(1.4283395331637687+0.0075322955196257535j)
125,2.967707,1.0,(-0.046793256034987095+0.0006318904145316043j),(-0.0073607978547532045+0.0012718186573976963j),(1.3169810984779036-0.046581961899843316j)
126,2.980427,1.0,(-0.04012595047441994+0.00407958678530614j),(-0.007471751065248347+0.0009225327627507871j),(1.2004891149363388-0.10119840223264198j)
127,2.993099,1.0,(-0.03349492195003303+0.007452393073275436j),(-0.007548343399765432+0.0005725359944172014j),(1.0792093361552269-0.156199133507245j)
128,3.005724,1.0,(-0.026919870923657302+0.010744409615898917j),(-0.0075902567376057205+0.00022343752228578552j),(0.9534881506421113-0.21148297166958818j)
129,3.018303,1.0,(-0.0204202488742301+0.013950262801778576j),(-0.007597336367807505-0.0001231721174154742j),(0.8236974113207809-0.2669527230142672j)
130,3.030836,1.0,(-0.014015688568521301+0.017064851206688304j),(-0.00756960554884204-0.0004657023241773939j),(0.6902447740151935-0.3225107279490177j)
131,3.043325,1.0,(-0.0077244173257340855+0.020084026501363716j),(-0.007507246128725866-0.0008026429934915358j),(0.5535404219901688-0.37807246814703444j)
132,3.055768,1.0,(-0.001566234451945109+0.02300312988241785j),(-0.007410626583090619-0.0011324200472640844j),(0.4140611625154518-0.4335393266758348j)
133,3.068167,1.0,(0.004441582514352194+0.025818918619307952j),(-0.007280264829478838-0.0014536066722277714j),(0.2722626600012649-0.4888337488024854j)
134,3.080523,1.0,(0.010281815698727197+0.02852825980535882j),(-0.007116835903714737-0.0017648015231820234j),(0.12863028118138997-0.5438773534700333j)
135,3.092835,1.0,(0.015936930515038788+0.031127977044381694j),(-0.00692119877456736-0.0020646113610830767j),(-0.01630810278196909-0.5985853851171938j)
136,3.105105,1.0,(0.021391500305049264+0.0336158595236838j),(-0.006694322975947682-0.0023517760871686172j),(-0.16204329376652948-0.6528889198437156j)
137,3.117332,1.0,(0.026629508133220126+0.035989372066423025j),(-0.006437370292507394-0.0026250356882429665j),(-0.30801659773811707-0.7067079359856531j)
138,3.129517,1.0,(0.03163664235141155+0.038246668439113736j),(-0.006151605807224988-0.002883246683487641j),(-0.45368039641482283-0.7599721636797517j)
139,3.141661,1.0,(0.03639943848512875+0.04038615278320883j),(-0.005838425408544952-0.003125352391957988j),(-0.5984772542585954-0.812611854134184j)
140,3.153763,1.0,(0.04090459334116692+0.042406057977673446j),(-0.005499390286179345-0.0033503311579941705j),(-0.7418193115716376-0.8645490810379469j)
141,3.165825,1.0,(0.04514093913547879+0.044305357662665135j),(-0.00513610296308108-0.003557311856097182j),(-0.8831490427234835-0.9157180391950339j)
142,3.177846,1.0,(0.049097234576168755+0.04608265839459488j),(-0.004750347007092073-0.003745459678180381j),(-1.0218729385772705-0.9660386908839909j)
143,3.189828,1.0,(0.05276436313708956+0.04773725008016821j),(-0.004343922845292773-0.003914091167651313j),(-1.1574315677542006-1.0154418071449822j)
144,3.20177,1.0,(0.05613334139769186+0.04926802743773354j),(-0.003918796163339889-0.0040625718867536775j),(-1.289237414363398-1.0638428790615564j)
145,3.213673,1.0,(0.059197008494170505+0.050674338158804726j),(-0.0034769562113766443-0.004190398678609734j),(-1.4167312844996682-1.1111625652739434j)
146,3.225537,1.0,(0.061949113801464964+0.05195548106661163j),(-0.0030204877590725024-0.004297164515838685j),(-1.5393540582711853-1.157313420015106j)
147,3.237363,1.0,(0.06438487549900616+0.05311097654521876j),(-0.00255149281601-0.0043825768585972575j),(-1.6565695889482839-1.2022075508555523j)
148,3.249151,1.0,(0.06650055540292127+0.05414027520671971j),(-0.002072159772782009-0.0044464390027462355j),(-1.7678489578047256-1.2457482538835518j)
149,3.260901,1.0,(0.06829372808252807+0.05504294028055029j),(-0.001584711409027978-0.004488669676858368j),(-1.872683246415967-1.287833446070108j)
150,3.272614,1.0,(0.06976343671356187+0.05581871950724044j),(-0.001091357311794428-0.004509297806026404j),(-1.9705941316289557-1.328359263949311j)
151,3.284291,1.0,(0.07090997076508654+0.05646731793083371j),(-0.0005943183447036428-0.004508450714561197j),(-2.061129864740475-1.3672153666648836j)
152,3.29593,1.0,(0.07173466757223347+0.05698845192919734j),(-9.594233384435435e-05-0.004486370765019202j),(-2.1438432653573867-1.4042753851224077j)
153,3.307534,1.0,(0.0722406437040075+0.057382128018853576j),(0.00040162598103133176-0.004443398120761158j),(-2.218356552031265-1.439423332176742j)
154,3.319101,1.0,(0.07243197414129356+0.057648213623618674j),(0.0008960621843983156-0.004379983394211535j),(-2.284292578457969-1.4725210950818404j)
155,3.330633,1.0,(0.07231423497543313+0.057786839318503j),(0.0013852232304303372-0.004296666046605255j),(-2.341335711477977-1.5034370125205134j)
156,3.34213,1.0,(0.07189419591221667+0.05779813804042454j),(0.0018669209547510493-0.0041940827057048245j),(-2.3891980340743566-1.5320277032045218j)
157,3.353592,1.0,(0.07117989119940629+0.05768238878832521j),(0.0023390157656274467-0.004072968482426601j),(-2.4276343477092306-1.5581442019922676j)
158,3.365019,1.0,(0.07018065822667716+0.05743999119492124j),(0.0027994139798463834-0.003934142029759151j),(-2.456445051775955-1.5816338780661423j)
159,3.376412,1.0,(0.06890689396592026+0.057071497685329695j),(0.003246128917059915-0.0037784968814617136j),(-2.475478169279462-1.602341422009393j)
160,3.387771,1.0,(0.06737022204795176+0.056577592970540644j),(0.0036772050904236918-0.0036070079941639037j),(-2.4846276609940867-1.620106177253026j)
161,3.399096,1.0,(0.06558339797621984+0.05595916966968738j),(0.00409076358586426-0.003420727659154547j),(-2.483837433998792-1.6347655569883168j)
162,3.410388,1.0,(0.06356003031807733+0.05521726530490164j),(0.00448504853852232-0.0032207531919521085j),(-2.4731007793530817-1.6461564206665549j)
163,3.421647,1.0,(0.06131484757821482+0.05435311936595602j),(0.004858363466196966-0.003008256232287484j),(-2.4524638206239224-1.6541137586819066j)
164,3.432873,1.0,(0.05886350969363463+0.05336827994931803j),(0.005209110023132697-0.0027844614854581635j),(-2.4220232632407326-1.6584740326871013j)
165,3.444067,1.0,(0.05622225275100415+0.05226435812067939j),(0.005535834615476555-0.002550615462485975j),(-2.3819274520761122-1.6590753885280292j)
166,3.455229,1.0,(0.05340828433265952+0.05104337979386656j),(0.005837155858075756-0.0023080262500879364j),(-2.3323770625125264-1.655759014686488j)
167,3.466358,1.0,(0.050439746281018154+0.049707705400487426j),(0.006111798523166048-0.002058051128279587j),(-2.2736332750172137-1.6483718576524597j)
168,3.477456,1.0,(0.04733457110299148+0.04825968188326103j),(0.006358679317691724-0.001802009394601529j),(-2.205991558387302-1.6367655115165158j)
169,3.488521,1.0,(0.04411224506510243+0.046702429884764834j),(0.006576754359695651-0.0015413224678668415j),(-2.129821705439217-1.6208024895797462j)
170,3.499557,1.0,(0.040790897674054465+0.045038508495702j),(0.006765235206342593-0.0012772839525299613j),(-2.045502389542095-1.6003463155699442j)
171,3.510561,1.0,(0.03739098924614022+0.04327187768229042j),(0.006923327516042486-0.0010113556959094783j),(-1.953506907868332-1.5752817327931332j)
172,3.521535,1.0,(0.03393167235622639+0.0414060057339672j),(0.007050466370467781-0.0007448715011944251j),(-1.8543181245265552-1.5454971155493231j)
173,3.532479,1.0,(0.030432758014253363+0.03944502256649762j),(0.007146192167406578-0.0004792054837255787j),(-1.7484763417141223-1.5108976521193758j)
174,3.543392,1.0,(0.02691435533504834+0.037393584517840264j),(0.007210184474399109-0.0002157377200902637j),(-1.6365736673603433-1.4714078621679458j)
175,3.554275,1.0,(0.023395810987249254+0.03525633616123498j),(0.007242279988086483+4.422749930018267e-05j),(-1.5192195428103386-1.4269630809683425j)
176,3.565129,1.0,(0.01989620587788091+0.0330382327193594j),(0.007242449824455542+0.00029941354908782j),(-1.397055858188556-1.377514565962648j)
177,3.575953,1.0,(0.016434940791228782+0.030744957376389836j),(0.007210801286230534+0.0005485365771317698j),(-1.2707777355134602-1.3230422470401508j)
178,3.586749,1.0,(0.013029997311630915+0.0283819067225231j),(0.007147582527358677+0.0007904214797044688j),(-1.1410720285200306-1.2635317289655856j)
179,3.597515,1.0,(0.009700089279861933+0.025955649389770373j),(0.007053187665934489+0.0010238514485795592j),(-1.0086962059050948-1.199011229674636j)
180,3.608253,1.0,(0.006462023153122869+0.023472182661089077j),(0.006928131934829765+0.0012477566862170667j),(-0.8743776868163948-1.1295095955204617j)
181,3.618962,1.0,(0.003332806971077912+0.020938491086513297j),(0.006773079076782582+0.0014610546700040894j),(-0.7388945323034098-1.0550969496405045j)
182,3.629643,1.0,(0.00032801674962775796+0.018361349049499886j),(0.006588805755320866+0.001662772960475527j),(-0.6030098957964944-0.9758549841809327j)
183,3.640296,1.0,(-0.002537370554979543+0.01574803222307389j),(0.0063762203592586724+0.0018519848633801366j),(-0.46750390719852697-0.891896916789949j)
184,3.650921,1.0,(-0.005249383250387584+0.013106066164510361j),(0.006136354611242356+0.002027833040806918j),(-0.3331564530102517-0.8033614756248255j)
185,3.661519,1.0,(-0.007795334378359681+0.010442911499928046j),(0.005870330675260928+0.0021895570656237638j),(-0.2007305131070798-0.7104051792832872j)
186,3.672089,1.0,(-0.010163210943183646+0.007766736179452958j),(0.005579431337829608+0.002336439322309975j),(-0.07100364828442024-0.6132268496302029j)
