,omega_0 [rad/s],zeta_a [m],eta_3a [m],eta_5a [rad],mu_ua [-]
91,2.502651,1.0,(-0.08651251308934671+0.023168181540589666j),(0.01038366677992412+0.007504660278672968j),(0.7024743207541435-0.5032497959935519j)
92,2.517376,1.0,(-0.09053044033648193+0.018902279980266005j),(0.010065591975150553+0.007631624656942796j),(0.7723746581440906-0.4699686938630977j)
93,2.532027,1.0,(-0.09408213887313009+0.014707759028150696j),(0.009707432540615719+0.0077274400824844805j),(0.8403085999728249-0.43452183577482345j)
94,2.546607,1.0,(-0.09716263435303298+0.010597244633062858j),(0.009311592367286249+0.0077924253465411954j),(0.9059054820507483-0.3970396936529824j)
95,2.561115,1.0,(-0.09976796151004012+0.006583995223210836j),(0.008880671440148669+0.007826946994438883j),(0.9687810628697829-0.3576734756401405j)
96,2.575553,1.0,(-0.10189668947020779+0.002679868009840606j),(0.008417270698346644+0.007831459557760765j),(1.028571438975059-0.31657708947738983j)
97,2.589923,1.0,(-0.10354916231253398-0.0011038794945666475j),(0.007924061124688325+0.007806482275397787j),(1.0849203636757172-0.27391315875439837j)
98,2.604224,1.0,(-0.10472724757851651-0.004755838813802444j),(0.007403878285558348+0.007752609521964366j),(1.1374705859062586-0.22986198004496394j)
99,2.618459,1.0,(-0.10543503163738233-0.008266321261913514j),(0.006859470203410531+0.007670501398162036j),(1.185892873738578-0.18459967053738302j)
100,2.632627,1.0,(-0.10567809664945907-0.011625319410965604j),(0.006293766963447092+0.007560906929357831j),(1.2298589133973468-0.13832212455462772j)
101,2.64673,1.0,(-0.10546394373601772-0.014824319175387861j),(0.005709616589128158+0.007424629572926992j),(1.2690673362018061-0.09122170830833232j)
102,2.660769,1.0,(-0.10480169768361774-0.017855319420371843j),(0.005109924294561846+0.0072625460610719166j),(1.3032317551655614-0.043499217762812625j)
103,2.674744,1.0,(-0.10370217706872004-0.020710874242689924j),(0.00449763990491299+0.007075618015955874j),(1.3320848631854059+0.004636366980151019j)
104,2.688657,1.0,(-0.10217767274445803-0.02338480936874697j),(0.00387562998607038+0.006864849402977857j),(1.3553852671740323+0.05297998315166608j)
105,2.702509,1.0,(-0.10024197123997275-0.025871470234825545j),(0.0032467786325043493+0.006631315528030663j),(1.372913832748529+0.1013202450608619j)
106,2.716299,1.0,(-0.09791069908662918-0.02816577902661154j),(0.002614050238715419+0.006376195205525654j),(1.3844744279486199+0.14943786813074245j)
107,2.730029,1.0,(-0.09520037687655211-0.0302639750383053j),(0.001980224367387777+0.006100675465743397j),(1.3899027334429173+0.19712306668223645j)
108,2.7437,1.0,(-0.09212893267264405-0.03216295685558641j),(0.0013480861980566337+0.005806016041797194j),(1.3890610246626236+0.24416322193590456j)
109,2.757312,1.0,(-0.08871578190860605-0.03386040856955393j),(0.0007204198779663698+0.005493552263070826j),(1.381840368158423+0.29034463252407905j)
110,2.770867,1.0,(-0.0849809096835035-0.03535501245294611j),(9.984207171879903e-05+0.005164622865012056j),(1.3681632943179562+0.33546222810479387j)
111,2.784364,1.0,(-0.08094617217202403-0.03664600219511263j),(-0.0005109607993534228+0.0048206823069925665j),(1.3479858014912767+0.3793051902224325j)
112,2.797805,1.0,(-0.07663351386280207-0.03773375930661346j),(-0.0011095186169309147+0.004463156561878072j),(1.3212932644056052+0.4216771710554818j)
113,2.81119,1.0,(-0.072066301877371-0.03861926244247106j),(-0.0016933665054815195+0.004093553853767743j),(1.2881072828469722+0.4623811370829444j)
114,2.824521,1.0,(-0.06726796524089033-0.039304440076038775j),(-0.0022602197001991378+0.0037133607310664376j),(1.248477543806237+0.5012329089531478j)
115,2.837797,1.0,(-0.06226361679583162-0.03979179730477535j),(-0.002807775297382288+0.003324173362766791j),(1.2024966345963435+0.5380469336801595j)
116,2.851019,1.0,(-0.057078228029473946-0.040084751709935924j),(-0.003333925636966189+0.0029275505350823965j),(1.1502851178469724+0.5726527163798072j)
117,2.864188,1.0,(-0.05173713860929718-0.040187356660995315j),(-0.0038366896777333012+0.0025250664637068406j),(1.0919980946434504+0.6048886347867433j)
118,2.877305,1.0,(-0.04626600423660712-0.04010440443606911j),(-0.00431420205189109+0.0021183033420681696j),(1.0278220964086484+0.634603459504772j)
119,2.89037,1.0,(-0.04069108297231801-0.039841298799400945j),(-0.004764700991232065+0.0017088763188472674j),(0.9579826781099285+0.6616545534911737j)
120,2.903384,1.0,(-0.035038323130596995-0.0394040941980436j),(-0.0051865937680850805+0.0012983680881645749j),(0.8827322727014794+0.6859135125092954j)
121,2.916348,1.0,(-0.029333640915204056-0.038799363842942775j),(-0.005578431399065894+0.0008883513775453913j),(0.8023552094733524+0.7072639936763379j)
122,2.929261,1.0,(-0.023603708928055737-0.03803436762764411j),(-0.005938853846171648+0.00048045062674213204j),(0.7171788482516461+0.725599671210237j)
123,2.942125,1.0,(-0.017873646988631878-0.037116699088186864j),(-0.006266739635866945+7.617260489293782e-05j),(0.6275411534351806+0.7408325643045347j)
124,2.954941,1.0,(-0.012168668685841476-0.03605442407961177j),(-0.006561088898236596-0.0003229667861361306j),(0.5338139547392389+0.7528865717442412j)
125,2.967707,1.0,(-0.006514880184989134-0.03485630978664775j),(-0.006820994192166164-0.0007153909105138982j),(0.4364184148949759+0.7616978671152758j)
126,2.980427,1.0,(-0.0009351788408959931-0.033530938492874834j),(-0.007045834341225461-0.0010997443349851325j),(0.3357553953243654+0.7672218509482136j)
127,2.993099,1.0,(0.004545538154039047-0.032087801410404876j),(-0.007235029018340628-0.0014745277637362559j),(0.2322947893534751+0.7694249914887537j)
128,3.005724,1.0,(0.009904446750702275-0.030536368935706354j),(-0.007388219997051473-0.0018383821575348185j),(0.12650475375983722+0.7682909291829475j)
129,3.018303,1.0,(0.015119542242567058-0.028886338375285262j),(-0.007505203013738475-0.002189995542036425j),(0.018871770989582648+0.7638181214168165j)
130,3.030836,1.0,(0.020169333357652405-0.027147711179800707j),(-0.007585923123349879-0.002528086473692768j),(-0.09009255201011873+0.7560203071526204j)
131,3.043325,1.0,(0.025034119853698238-0.025330351204747685j),(-0.007630496817145349-0.002851485001169018j),(-0.19987984428412375+0.7449252783025635j)
132,3.055768,1.0,(0.029693731314855767-0.02344479854074781j),(-0.007639179877487214-0.003158982637390614j),(-0.30993493304602415+0.730579232798849j)
133,3.068167,1.0,(0.03413073301194705-0.021501064422294477j),(-0.007612396396664624-0.003449539726030973j),(-0.4197287822996806+0.7130392088987529j)
134,3.080523,1.0,(0.038328457157529534-0.019509297392334087j),(-0.007550710532609942-0.0037221642561964703j),(-0.5287173938112169+0.6923777487093647j)
135,3.092835,1.0,(0.04227086861659255-0.017479937378300586j),(-0.007454843449160983-0.003975893525957063j),(-0.6363355280967562+0.6686848546342846j)
136,3.105105,1.0,(0.04594427164360641-0.015422859472528595j),(-0.0073256387854623625-0.004209907786171131j),(-0.7420437513982897+0.6420586753378097j)
137,3.117332,1.0,(0.04933542481152097-0.013348314083422491j),(-0.007164105135312376-0.00442341001460116j),(-0.8452788583352271+0.6126170133404404j)
138,3.129517,1.0,(0.0524331234105854-0.011266064510886551j),(-0.006971355479724882-0.0046157270119085445j),(-0.9455004325230033+0.5804862858249121j)
139,3.141661,1.0,(0.055227610049559984-0.009185663236731024j),(-0.006748630926309325-0.004786269671533682j),(-1.0421756931058603+0.5458043711193757j)
140,3.153763,1.0,(0.05771015769750439-0.007116776192399596j),(-0.006497320464482118-0.0049345107695718754j),(-1.1347674483067118+0.5087268028163444j)
141,3.165825,1.0,(0.05987421918830847-0.00506829067261674j),(-0.006218866552743358-0.005060051771307213j),(-1.2227761107725335+0.46941081125467593j)
142,3.177846,1.0,(0.061714186797617594-0.0030492987079679423j),(-0.005914877126114689-0.005162555483555908j),(-1.305696831726915+0.4280333329810715j)
143,3.189828,1.0,(0.06322651769182347-0.0010680331359856194j),(-0.005586985537899299-0.005241801666149225j),(-1.3830651685194868+0.3847697252963697j)
144,3.20177,1.0,(0.06440873963581535+0.0008671090891114717j),(-0.005236984168049566-0.0052976473363526184j),(-1.4544202423450958+0.3398153725095109j)
145,3.213673,1.0,(0.06526022029103119+0.002748478086199155j),(-0.004866692483223016-0.005330052332131445j),(-1.5193389524095662+0.29336523066581965j)
146,3.225537,1.0,(0.06578174516510304+0.004568676821911328j),(-0.004478029170338161-0.005339073010862312j),(-1.5774208085028276+0.24562511140764842j)
147,3.237363,1.0,(0.06597565302738306+0.006320913807133445j),(-0.004072935949129771-0.005324858332474361j),(-1.6283003718224638+0.19680215727053085j)
148,3.249151,1.0,(0.06584572856514773+0.007998695576642614j),(-0.003653444923310405-0.005287652279527071j),(-1.6716406148493363+0.14711253377023603j)
149,3.260901,1.0,(0.06539721729837676+0.009596019795028398j),(-0.003221624517096831-0.005227795535928635j),(-1.7071405354940703+0.09677667891366148j)
150,3.272614,1.0,(0.06463678748704126+0.01110755252088708j),(-0.0027795475726125713-0.0051457148519868726j),(-1.7345384328116749+0.04601243172070091j)
151,3.284291,1.0,(0.06357234456746706+0.012528399491620554j),(-0.002329297380463151-0.005041922366172028j),(-1.753611246654022-0.00495934446751034j)
152,3.29593,1.0,(0.062213480590747175+0.013853898544858686j),(-0.0018730972570396185-0.004917049924598256j),(-1.7641715809090335-0.05590492094041766j)
153,3.307534,1.0,(0.06057049238572036+0.015080478950997239j),(-0.0014129767170933103-0.0047717631939706755j),(-1.7660807025489702-0.10661222040824458j)
154,3.319101,1.0,(0.05865550465675899+0.016204556868775196j),(-0.0009511572026757308-0.004606868380621483j),(-1.7592402472803912-0.15684858132608404j)
155,3.330633,1.0,(0.05648120093535033+0.017223523454620093j),(-0.0004896890870367215-0.004423198878665849j),(-1.7435960188296011-0.20640126921667845j)
156,3.34213,1.0,(0.054061617272755214+0.018135099472657745j),(-3.0679402110523626e-05-0.004221689681157479j),(-1.719139218063202-0.25505197279152003j)
157,3.353592,1.0,(0.051411799909604754+0.01893756766288902j),(0.0004237973111646017-0.004003350840131386j),(-1.6859077830728846-0.30258653647106903j)
158,3.365019,1.0,(0.04854773790953324+0.01962975777451429j),(0.0008717056622353694-0.0037692587654224743j),(-1.6439868533942743-0.348796280215143j)
159,3.376412,1.0,(0.04548598977631937+0.0202111065747849j),(0.0013110978420420945-0.003520533452487873j),(-1.5935037014723683-0.39348268569265654j)
160,3.387771,1.0,(0.0422440972064502+0.02068150424161515j),(0.001740044016021599-0.0032583718445591495j),(-1.5346354504623667-0.4364500890011397j)
161,3.399096,1.0,(0.038840275680846616+0.02104137540050722j),(0.0021566797610123737-0.0029840258502183466j),(-1.4676057309193902-0.4775109382236224j)
162,3.410388,1.0,(0.03529300350789776+0.021291686109459144j),(0.002559247399015437-0.0026987678632932654j),(-1.3926766864919726-0.5164901385298225j)
163,3.421647,1.0,(0.03162151424213067+0.021433833764849478j),(0.0029460333819135457-0.0024039364159495324j),(-1.3101610548493596-0.5532180963552745j)
164,3.432873,1.0,(0.02784544454780243+0.021469734925143508j),(0.0033154087422295076-0.0021009070023210773j),(-1.2204142967912965-0.5875360882366588j)
165,3.444067,1.0,(0.02398435826046938+0.021401725227592212j),(0.003665872418795033-0.0017910563952797547j),(-1.1238262495360711-0.6192989408380987j)
166,3.455229,1.0,(0.020058350611968135+0.021232596740621505j),(0.003995983684110672-0.001475811577786421j),(-1.0208335373262187-0.64837015641111j)
167,3.466358,1.0,(0.016087964803564735+0.020965570969063534j),(0.004304384548348113-0.0011566463682062367j),(-0.9119223025070337-0.6746232995116377j)
168,3.477456,1.0,(0.012092674310922293+0.020604208191544647j),(0.004589907001864671-0.0008349597771634498j),(-0.7975850047758394-0.697951955427294j)
169,3.488521,1.0,(0.00809327409118279+0.020152543860654876j),(0.004851393044273044-0.0005122695298991305j),(-0.6783885311031386-0.7182540840370505j)
170,3.499557,1.0,(0.004108205852914976+0.01961470029555447j),(0.0050879440897758765-0.00018991649561416574j),(-0.554866580573435-0.7354525288177205j)
171,3.510561,1.0,(0.00015813898095711225+0.018995437533188487j),(0.005298620981680725+0.00013056156852407072j),(-0.4276569461724549-0.7494714836005669j)
172,3.521535,1.0,(-0.0037384289080324333+0.018299542663136093j),(0.005482717903433106+0.00044778828218130297j),(-0.297367784979985-0.7602576120944525j)
173,3.532479,1.0,(-0.007562744356037249+0.017532161954281106j),(0.005639610391310469+0.0007603498714532032j),(-0.1646518125019395-0.7677686938300119j)
174,3.543392,1.0,(-0.011296270080920982+0.01669875529991756j),(0.005768795198586516+0.0010668305300768478j),(-0.03019370245490638-0.7719772052334299j)
175,3.554275,1.0,(-0.014921805116148575+0.01580483387514972j),(0.005869924902103785+0.0013659066804126963j),(0.10533058611706558-0.7728714852411058j)
176,3.565129,1.0,(-0.01842283875277604+0.01485605787778353j),(0.005942776088134555+0.001656291306047811j),(0.24123331448682436-0.7704535927661663j)
177,3.575953,1.0,(-0.021782991301293377+0.013858399339713667j),(0.005987238980013728+0.0019366885243697236j),(0.37679317852442706-0.7647407655482641j)
178,3.586749,1.0,(-0.024987680476481516+0.012817660755503871j),(0.006003349285552813+0.0022059305279246103j),(0.5113213648210974-0.7557632132836014j)
179,3.597515,1.0,(-0.02802204265023856+0.01174010063608672j),(0.005991260523456263+0.0024628042830911823j),(0.6440780835891627-0.7435683851094467j)
180,3.608253,1.0,(-0.030873365720999878+0.010631632403056085j),(0.005951255544936917+0.002706257080053811j),(0.7743759377042758-0.7282141488226387j)
181,3.618962,1.0,(-0.033529145788169006+0.009498488264075702j),(0.005883747711861589+0.0029352276534537003j),(0.9014971098782665-0.7097754120148747j)
182,3.629643,1.0,(-0.035978479504119365+0.00834668194288241j),(0.00578926254519084+0.0031487731808700382j),(1.0247586229927008-0.6883380843503399j)
183,3.640296,1.0,(-0.038211344357254595+0.0071822870790704115j),(0.005668449462467748+0.0033460009351972916j),(1.1434794706195333-0.6640022827796022j)
184,3.650921,1.0,(-0.04021891374627768+0.006011306282110371j),(0.005522075593859702+0.003526096826765598j),(1.2569968696104716-0.6368805640333642j)
185,3.661519,1.0,(-0.041993717990900965+0.004839541620600294j),(0.005351002220458702+0.0036883461411949116j),(1.3646804029909534-0.6070954987117122j)
