,f_enc [Hz],zeta_a [m],eta_3a [m],eta_5a [rad],mu_ua [-]
0,0.10000000224903234,0.0,0.9028055885621264,0.0034543618305367015,0.23416854215844868
1,0.14994996909325392,0.0,0.8706352499308484,0.005994169297079342,0.16830560159556074
2,0.19989991036059362,0.0,0.8272616373176922,0.009904712249247893,0.08528988976486797
3,0.2498498697611628,0.0,0.7785187092847914,0.016115098456308805,0.03537781630393531
4,0.29979982510904857,0.0,0.7042987799958744,0.021068615407113987,0.11347758671570256
5,0.3497497812507107,0.0,0.5843141318579923,0.017030251639614944,0.1850232355024704
6,0.3996997533639264,0.0,0.47466143292406604,0.011746849694427379,0.24248369694584138
7,0.44964964481973607,3.908193742122265e-151,0.37665775836407933,0.008181021763343519,0.27660205101849367
8,0.4995996079999038,2.0776952112777803e-118,0.2869274999062067,0.0057327732638561175,0.2824251369592398
9,0.5495496004652277,3.3497234872422576e-95,0.20990574794873038,0.003995871904925673,0.2645710417230863
10,0.5994994123681745,3.4280183355902512e-78,0.15817311636828676,0.0029392150584941637,0.2472009309219406
11,0.6494493796242946,2.224476383569987e-65,0.1499902960768681,0.0027658419500360817,0.2837454778436554
12,0.6993995561625338,1.6625798428515493e-55,0.18204616918003713,0.00336875405317847,0.40911645183671574
13,0.749349676010042,9.531735490914975e-48,0.2306653620861825,0.004315994893331044,0.6065765912688488
14,0.7992990506552407,1.508042490151767e-41,0.28080777985119576,0.005339815200376841,0.8533587394585355
15,0.8492497728487022,1.6022580973176866e-36,0.3262015916273765,0.006325383319564448,1.1336134082950893
16,0.8991988881161069,2.1488213990816862e-32,0.3641208546320745,0.007215882415233728,1.4340667064429826
17,0.9491496712216867,5.75859927603143e-29,0.39327588396524393,0.007976399097011321,1.7416966158354252
18,0.9990985384932766,4.3264273318228353e-26,0.4130692804408897,0.008582274454741114,2.0429833021622
19,1.049048644253797,1.1766106852610088e-23,0.42332807176449716,0.009015674908982285,2.324027765814618
20,1.0989988897771559,1.4069259331094496e-21,0.4241821007342725,0.009264273090495524,2.5708302953074487
21,1.1489484956492888,8.597991047935091e-20,0.4160110203434421,0.00932097255765272,2.76982925158228
22,1.1988997766549978,3.0218883572643386e-18,0.39941054637012435,0.009183679650624173,2.908500183222722
23,1.2488484624547054,6.702966510444781e-17,0.3751728294382446,0.008855355816015906,2.9759701561167584
24,1.2987982330006025,1.0113244939499638e-15,0.34426293366709926,0.008344020233898016,2.9637207877378833
25,1.3487485291365793,1.1021505477531383e-14,0.30781041393760533,0.007663072134041541,2.866268262929041
26,1.3986979561657242,9.110729904979477e-14,0.26710672776281896,0.00683200002379315,2.6820086604028166
27,1.4486482379470873,5.947248619177844e-13,0.22362815229443855,0.005877871166773123,2.4143833418233407
28,1.4985991483881191,3.1690236021114276e-12,0.17914361004339005,0.004839326449968143,2.0741617294657417
29,1.5485494531305215,1.4169275769721651e-11,0.13604885760180488,0.0037774282650391714,1.6851491199111241
30,1.598498038302182,5.440126246691733e-11,0.09842075045649834,0.00280867386433033,1.3012102119816193
31,1.6484485479121866,1.8290375308098357e-10,0.07461346915167075,0.0021883204405467177,1.0507022864789493
32,1.6983992636900227,5.473914517651521e-10,0.0752608326308878,0.002268195589791523,1.1266168668650958
33,1.7483492606165354,1.4788349131770635e-09,0.09566970826767293,0.002962242133311311,1.5195766424714934
34,1.7982982128286782,3.6500347783180716e-09,0.12242984616895294,0.0038937629407957996,2.059777930790742
35,1.8482479714441988,8.316257159647088e-09,0.14846616501561627,0.00484884698230471,2.6413982180967563
36,1.8981989295786577,1.7646839232974206e-08,0.17093543743012535,0.00573140440175543,3.210993812896015
37,1.9481479222275333,3.514168666560051e-08,0.188602346822217,0.006490584346941729,3.735232327491466
38,1.9980969994659685,6.612106794245356e-08,0.20093291787152973,0.0070956311623980315,4.1896826896612325
39,2.048048046035048,1.1824029466024478e-07,0.20777871122879502,0.007527440440197076,4.555314436366854
40,2.0979988703947705,2.0197292191128734e-07,0.209248051954613,0.007775435729275694,4.817496521782803
41,2.1479485357248813,3.31038727262503e-07,0.20564019793599514,0.007836225165478812,4.965836670157176
42,2.1978973305003136,5.227001505409419e-07,0.1974001993315744,0.007712721216756385,4.994171939246918
43,2.2478486836637797,7.979288706714286e-07,0.1850837272229731,0.007413470721345062,4.90057985108586
44,2.2977974543645274,1.1811565548610411e-06,0.16933188996900056,0.0069521645835539546,4.6874136774756145
