,f_enc [Hz],zeta_a [m],eta_3a [m],eta_5a [rad],mu_ua [-]
0,0.10000000224903234,0.0,0.9193156420546705,0.007740602566961657,0.24587690346380353
1,0.14994996909325392,0.0,0.8874297656460719,0.009826549688787354,0.18239842601060252
2,0.19989991036059362,0.0,0.8376259379840718,0.012112793704070614,0.10203890594931903
3,0.2498498697611628,0.0,0.7712771001640938,0.014840569040506185,0.035889807283044896
4,0.29979982510904857,0.0,0.6849615834045009,0.017103262098540874,0.09565453998065075
5,0.3497497812507107,0.0,0.5772430296841119,0.015917276339794565,0.17182468120905026
6,0.3996997533639264,0.0,0.4704854328251222,0.011935655384666243,0.231677527507297
7,0.44964964481973607,3.908193742122265e-151,0.3737575412083433,0.00836378407968529,0.26767712625482915
8,0.4995996079999038,2.0776952112777803e-118,0.2852696255681108,0.005803276613165731,0.2757194074135656
9,0.5495496004652277,3.3497234872422576e-95,0.20909299351874794,0.004010050074697595,0.2600684928152223
10,0.5994994123681745,3.4280183355902512e-78,0.15781283051603784,0.0029323842172839882,0.2443450798517621
11,0.6494493796242946,2.224476383569987e-65,0.14983329069117596,0.0027480236699477427,0.28170448453815294
12,0.6993995561625338,1.6625798428515493e-55,0.18201515758386846,0.0033362679603832534,0.4075379598799999
13,0.749349676010042,9.531735490914975e-48,0.23075475763588285,0.004263070218893575,0.6057039766050273
14,0.7992990506552407,1.508042490151767e-41,0.2809960543229696,0.005263116690001822,0.8535241200906798
15,0.8492497728487022,1.6022580973176866e-36,0.3264412477752162,0.006225061550123295,1.1349847175068724
16,0.8991988881161069,2.1488213990816862e-32,0.36447848654628423,0.00708888050734179,1.435420247702707
17,0.9491496712216867,5.75859927603143e-29,0.39354849795758373,0.007844205147344924,1.7463370765899908
18,0.9990985384932766,4.3264273318228353e-26,0.41321100368955066,0.008439392893804019,2.0463215628206965
19,1.049048644253797,1.1766106852610088e-23,0.4233843704792533,0.008880224663352407,2.331236696906019
20,1.0989988897771559,1.4069259331094496e-21,0.42439095465577986,0.009138565433849699,2.579286359082086
21,1.1489484956492888,8.597991047935091e-20,0.41579009295115804,0.009208934412585098,2.782013658659582
22,1.1988997766549978,3.0218883572643386e-18,0.3996339638954644,0.009095111727123607,2.9313483061733048
23,1.2488484624547054,6.702966510444781e-17,0.374458377314975,0.008769306131822651,2.9959932894357837
24,1.2987982330006025,1.0113244939499638e-15,0.3442257158433093,0.008276470676549227,3.0219392591745646
25,1.3487485291365793,1.1021505477531383e-14,0.3146854399131377,0.007720420399404364,2.995091291194935
26,1.3986979561657242,9.110729904979477e-14,0.26213105726313507,0.006635239437800518,2.7988354669725326
27,1.4486482379470873,5.947248619177844e-13,0.22858912676503554,0.006033443612870974,2.335470746562702
28,1.4985991483881191,3.1690236021114276e-12,0.18142658668954176,0.0049159248487837945,2.041575192629219
29,1.5485494531305215,1.4169275769721651e-11,0.13768181371589988,0.003832858206073416,1.6703706640525866
30,1.598498038302182,5.440126246691733e-11,0.09957157391847458,0.0028618788198753547,1.2803215217371824
31,1.6484485479121866,1.8290375308098357e-10,0.07511881381294429,0.002215935244376007,1.0378991357463287
32,1.6983992636900227,5.473914517651521e-10,0.07578667054678553,0.002296911769172975,1.115595189929536
33,1.7483492606165354,1.4788349131770635e-09,0.09636976035504434,0.0030010523220391615,1.506974662528367
34,1.7982982128286782,3.6500347783180716e-09,0.12337592286723102,0.0039471555310585755,2.04505077298226
35,1.8482479714441988,8.316257159647088e-09,0.14968359213753,0.004918928482259849,2.6250723564620455
36,1.8981989295786577,1.7646839232974206e-08,0.17242575219948408,0.005819045869123004,3.193915639859906
37,1.9481479222275333,3.514168666560051e-08,0.19034982428263575,0.006595773184206587,3.7183102662395737
38,1.9980969994659685,6.612106794245356e-08,0.20290863106544565,0.007217443677423237,4.173789112892373
39,2.048048046035048,1.1824029466024478e-07,0.20996149859562657,0.007664693303000724,4.541606286004251
40,2.0979988703947705,2.0197292191128734e-07,0.2117310549893036,0.007932896540615537,4.807481971376782
41,2.1479485357248813,3.31038727262503e-07,0.20817410566006456,0.008002684672978587,4.95730772426869
42,2.1978973305003136,5.227001505409419e-07,0.19993692495645932,0.007883377615882968,4.9885607329123625
43,2.2478486836637797,7.979288706714286e-07,0.18756626803377419,0.0075842358745046665,4.897867993190523
44,2.2977974543645274,1.1811565548610411e-06,0.17171423492136412,0.007119040484267162,4.687767540773333
45,2.3477472498830405,1.7003340076302542e-06,0.1530553902597409,0.006504800497787676,4.364155958643619
46,2.3976967784436396,2.3861014227560415e-06,0.13236010101835544,0.005765660304790901,3.937988205062396
47,2.4476476248146177,3.271483088053547e-06,0.11043202571283957,0.004929651774755007,3.4252685650997914
48,2.4975981910172624,4.3907589343380185e-06,0.08816422010034791,0.00403247485107163,2.8484235687715995
49,2.5475476113566735,5.7788846453825675e-06,0.06669950563782333,0.0031254463674530403,2.242678396644528
50,2.597497826364287,7.470795326360829e-06,0.047860439339858465,0.002297197642359431,1.6735105336698326
51,2.647447343509212,9.499778023079745e-06,0.03541914729609487,0.0017411515332179028,1.2869733288646843
52,2.697397408619701,1.1897672430351731e-05,0.0346959558529566,0.0017465110842942977,1.309227088055238
53,2.7473477972811104,1.4693171158434524e-05,0.04400223594182049,0.002267938803178353,1.7229549054593891
54,2.7972988721544434,1.7911817855726893e-05,0.056675645742065704,0.0029913195884948914,2.3006432786409143
55,2.8472472005469935,2.1574087613038586e-05,0.06908403627202885,0.0037324214473327465,2.9065370665159973
56,2.8971985833712,2.5699573540745705e-05,0.07991390235941274,0.004419556030711132,3.482015033415052
57,2.9471461878837943,3.029724797836685e-05,0.08858477180822977,0.005014845120257484,3.9945110886465476
58,2.9970968829864053,3.537954203528346e-05,0.0948200919162029,0.005494032162667619,4.4225746306839575
59,3.04704692164824,4.094607487054144e-05,0.09853208338126314,0.005842334880453714,4.751540929681434
60,3.0969974241425158,4.6997262935882496e-05,0.09978273529805272,0.006054594517256412,4.971844050728531
61,3.146947663225057,5.3526457538739164e-05,0.09867225140772172,0.006127026759657471,5.0768465058193115
62,3.196897281889496,6.0523747952425496e-05,0.09533018895144393,0.006057153409198329,5.062637616935314
63,3.2468462875583133,6.797552849459288e-05,0.08998538434962637,0.005849999162894701,4.930239613298079
64,3.2967973976794234,7.586707151572415e-05,0.08290295310704367,0.005514748867283238,4.683333324386376
65,3.346746646760186,8.417250149670496e-05,0.07434557042381981,0.0050606566556901525,4.328053383257082
66,3.3966974354691435,9.287531788225166e-05,0.06461492877493329,0.004499262464765388,3.875895659483492
67,3.446646365776545,0.00010194372006703993,0.05411321157214929,0.0038548780687317923,3.3426473899408045
68,3.496595081101958,0.00011135570948585644,0.043267628473344026,0.0031535384828118235,2.7509137491757385
69,3.546547997010378,0.00012108760645972161,0.032706577440005276,0.002438950764915483,2.1393274501072677
70,3.5964951939980865,0.00013109049616274532,0.023581904170596357,0.0017989841111461045,1.5864609870265087
71,3.6464465156949695,0.00014136125945278844,0.018411852394535647,0.0014369805270896111,1.2734190367279283
72,3.696397395078936,0.00015184961788225406,0.01997254652736469,0.001594995264062672,1.419566137138882
73,3.746345886036686,0.00016252746697224455,0.02634341260537938,0.002152696035006184,1.9233252219805574
74,3.7962977898208288,0.0001733786059608903,0.034122970977059616,0.0028529172455515643,2.55845079985249
75,3.846246589280254,0.00018435087691319346,0.041708394441906715,0.0035677353287845623,3.2103472725430713
76,3.896196031007302,0.00019543388573501776,0.04842731549178504,0.0042388395543308125,3.824852088296746
77,3.946147593264415,0.00020659615815060578,0.05392428713188208,0.004829422795387231,4.369285175268513
78,3.996095225748166,0.0002177930028566157,0.058011788057156656,0.005316130220462899,4.820522163433994
79,4.046045935053069,0.00022902770588256085,0.06057945276060853,0.005680951963753154,5.160339942142539
80,4.0959966068880735,0.00024025245457141587,0.061547694947256384,0.0059056655049062245,5.373832249692825
81,4.14594686138603,0.00025144922395496064,0.060953358164523234,0.0059855799666895075,5.452191267970092
82,4.195896479691509,0.00026259580174996065,0.05881882816216456,0.005910465872867222,5.38934135339066
83,4.2458454020411605,0.0002736714466895253,0.05526887943808994,0.005683677024648069,5.185427343418928
84,4.295796408423031,0.000284665158363119,0.05045270596865357,0.005309460074240581,4.8460500622643865
85,4.345747100079041,0.0002955436296958,0.04460514965746154,0.004804799333780158,4.3839265302326655
86,4.395695169622906,0.0003062889262394398,0.03795237388337729,0.004183415785113282,3.8169581624610274
87,4.445646586450941,0.00031691234929836847,0.030854085074186854,0.0034804956912167194,3.174263332001478
88,4.495596616332441,0.0003273653630851964,0.023716109149165984,0.002738150243415178,2.494954613919407
89,4.545546069911786,0.00033765252068217617,0.017100036080955398,0.0020204790330034215,1.839282342365438
90,4.595495904922761,0.00034776311231573214,0.012031158077752362,0.0014549757921831685,1.3227487290168167
91,4.6454472245193195,0.0003576877015786765,0.010256850571356233,0.0012698582990493955,1.1523714185239087
92,4.695395667401049,0.00036739630617279776,0.012146155890716671,0.0015391756622010046,1.3942167118786164
93,4.745345352661746,0.0003769123798944911,0.015482120188369005,0.002007596649618468,1.815281014471568
94,4.795294932537141,0.0003862085171122938,0.01870940540170908,0.0024822840070912507,2.240353618031209
95,4.84524598844647,0.00039529012849501136,0.02126966095531355,0.0028875009224901328,2.6002539488420093
96,4.895194514304795,0.00040412908170179364,0.02298564407795665,0.0031923416534155057,2.8685086507011426
97,4.94514515724048,0.0004127567168051255,0.023842476502007423,0.003387244989020529,3.0367584728334798
98,4.995094082678159,0.0004211342684665473,0.023900024083569848,0.0034727616361405747,3.106203707748035
99,5.04504328808138,0.00042928358701690864,0.023257523405952097,0.003455825460516603,3.0837486315542004
100,5.094994904760164,0.00043720413817968076,0.022031740451482255,0.0033470096383525012,2.9797055200715237
101,5.144945326701741,0.0004448689583185943,0.02034751617357619,0.0031596090788580354,2.806522651610388
102,5.194893914604738,0.00045228997483271003,0.01832708626202119,0.0029080382311961273,2.577603044017824
103,5.244846029531361,0.0004594954465297098,0.016086636152852055,0.0026074796007521444,2.3066304433222955
104,5.294795309475827,0.0004664311892944593,0.013731285336465062,0.0022728025426393987,2.006981411329602
105,5.3447443260398675,0.0004731396382557347,0.011355671527102972,0.0019186650862179342,1.6915203386256654
106,5.394695778477977,0.000479623671178519,0.009042171974099254,0.0015588144150629575,1.372493778458177
107,5.444643435692147,0.0004858412643079549,0.006870541178442426,0.0012078976752878925,1.0625321155904561
108,5.494593157030757,0.0004918538459568888,0.004929761243468434,0.0008834272282618771,0.7766673982628127
109,5.54454488885507,0.00049763539332079,0.003363495567038516,0.0006142207655176441,0.5397363145906388
110,5.594492526129882,0.000503157429891427,0.0024684539972881386,0.00045936737559652634,0.4033968904838038
111,5.644445291364054,0.0005085012209386612,0.002534026395444372,0.0004800340574363079,0.42163340457607257
112,5.694394114618773,0.0005135762646268469,0.003195325128115399,0.0006149248502805923,0.5413883954955042
113,5.744345334031008,0.0005184654797280501,0.0039598299398902045,0.0007736101104604845,0.6830086539251291
114,5.7942961198604985,0.0005231250437688489,0.0046274150175933965,0.000917033968145875,0.8124483426762187
115,5.8442436546359025,0.0005275582077079038,0.005137553267996854,0.00103192487463816,0.9180015589051951
116,5.894194555331844,0.0005318194868161008,0.005475005365594013,0.0011134424724512045,0.995601658838275
117,5.94414614820871,0.0005358635742601435,0.0056448410126772154,0.001161218286783767,1.0444287230064673
118,5.994095770766725,0.0005396941503573717,0.005658066119286721,0.0011760604463523596,1.0650524084339597
119,6.044043952044344,0.000543332604369073,0.00553034892428814,0.001160105350247645,1.0590069944816078
120,6.093994478019149,0.0005468014253104002,0.005280450788720193,0.0011165945265116455,1.028485143471845
121,6.143944836976465,0.0005500703905535254,0.004927652427221383,0.0010491607935405422,0.9760443958528258
122,6.193892527457451,0.0005531435239444441,0.004490433310486024,0.0009613540863387731,0.9045121186885969
123,6.243844755179947,0.0005560795625182296,0.003989592731882817,0.0008578738927365543,0.8170440148822345
124,6.293792664671812,0.0005587929582684218,0.003443460973346165,0.0007427023140171864,0.7169312375833305
